0.0078178681  0.032842148 1.8997149e-05
0.0078286128  0.032854561 1.8989989e-05
0.0078393715  0.032866992 1.8982822e-05
 0.007850145  0.032879442 1.8975643e-05
0.0078609334  0.032891907 1.8968456e-05
0.0078717368   0.03290439 1.8961257e-05
 0.007882555  0.032916892 1.895405e-05
0.0078933882  0.032929409 1.8946832e-05
0.0079042362  0.032941945 1.8939605e-05
0.0079150992  0.032954495 1.8932367e-05
 0.007925977  0.032967065 1.8925119e-05
0.0079368697  0.032979652 1.8917861e-05
0.0079477774  0.032992255 1.8910594e-05
0.0079586999  0.033004876 1.8903316e-05
0.0079696374  0.033017512 1.8896029e-05
0.0079805907  0.033030167 1.8888732e-05
0.0079915579  0.033042844 1.8881425e-05
 0.008002541  0.033055533 1.8874107e-05
 0.008013539   0.03306824 1.8866778e-05
0.0080245519  0.033080965 1.8859442e-05
0.0080355806  0.033093709 1.8852093e-05
0.0080466243  0.033106469 1.8844736e-05
0.0080576828  0.033119246 1.8837367e-05
0.0080687562  0.033132043 1.8829991e-05
0.0080798455  0.033144858 1.8822602e-05
0.0080909496  0.033157688 1.8815203e-05
0.0081020687  0.033170536 1.8807794e-05
0.0081132036    0.0331834 1.8800376e-05
0.0081243534  0.033196285 1.8792947e-05
 0.008135519  0.033209186 1.8785508e-05
0.0081466995  0.033222105 1.8778057e-05
0.0081578959   0.03323504 1.8770599e-05
0.0081691071  0.033247996 1.8763129e-05
0.0081803342  0.033260968 1.8755649e-05
0.0081915762  0.033273958 1.8748158e-05
0.0082028341  0.033286966 1.8740657e-05
0.0082141077  0.033299994 1.8733146e-05
0.0082253963  0.033313036 1.8725625e-05
0.0082367007  0.033326101 1.8718094e-05
  0.00824802  0.033339176 1.8710551e-05
0.0082593551  0.033352274 1.8702998e-05
0.0082707061  0.033365391 1.8695437e-05
0.0082820728  0.033378527 1.8687864e-05
0.0082934545  0.033391677 1.8680279e-05
 0.008304853  0.033404846 1.8672685e-05
0.0083162664  0.033418033 1.8665081e-05
0.0083276955  0.033431239 1.8657467e-05
0.0083391406  0.033444464 1.8649842e-05
0.0083506005  0.033457708 1.8642206e-05
0.0083620772   0.03347097 1.8634559e-05
0.0083735688  0.033484247 1.8626903e-05
0.0083850771  0.033497542 1.8619234e-05
0.0083966004   0.03351086 1.8611556e-05
0.0084081404  0.033524193 1.8603869e-05
0.0084196953  0.033537544 1.8596169e-05
 0.008431267  0.033550914 1.858846e-05
0.0084428536  0.033564303 1.858074e-05
0.0084544569   0.03357771 1.857301e-05
0.0084660761  0.033591136 1.8565266e-05
0.0084777111  0.033604581 1.8557515e-05
 0.008489362   0.03361804 1.8549752e-05
0.0085010286  0.033631522 1.8541979e-05
0.0085127121  0.033645023 1.8534196e-05
0.0085244114  0.033658542  1.85264e-05
0.0085361265  0.033672079 1.8518595e-05
0.0085478574  0.033685632 1.8510778e-05
0.0085596051  0.033699207 1.8502951e-05
0.0085713686  0.033712801 1.8495113e-05
